specification	block	classification	fixture
01-lexical-structure.md	1	accept	parse/valid/layout.hd
01-lexical-structure.md	2	accept	parse/valid/functions-and-closures.hd
01-lexical-structure.md	3	accept	parse/valid/layout.hd
01-lexical-structure.md	4	accept	parse/valid/layout.hd
01-lexical-structure.md	5	lexical-inventory	-
01-lexical-structure.md	6	accept	parse/valid/layout.hd
01-lexical-structure.md	7	lexical-inventory	-
01-lexical-structure.md	8	lexical-inventory	-
03-names-and-scopes.md	1	accept	typing/valid/names-and-scopes.hd
03-names-and-scopes.md	2	accept	parse/valid/imports.hd
03-names-and-scopes.md	3	accept	typing/valid/bindings.hd
03-names-and-scopes.md	4	accept	typing/valid/bindings.hd
03-names-and-scopes.md	5	accept	typing/valid/collections.hd
03-names-and-scopes.md	6	accept	typing/valid/names-and-scopes.hd
03-names-and-scopes.md	7	accept	typing/valid/names-and-scopes.hd
03-names-and-scopes.md	8	accept	typing/valid/enums.hd
03-names-and-scopes.md	9	accept	typing/valid/collections.hd
03-names-and-scopes.md	10	accept	typing/valid/collections.hd
03-names-and-scopes.md	11	accept	typing/valid/enums.hd
04-type-system.md	1	accept	typing/valid/newtypes-and-widening.hd
04-type-system.md	2	mixed	typing/valid/newtypes-and-widening.hd|typing/invalid/integer-literal-range.hd
04-type-system.md	3	accept	parse/valid/declarations.hd
04-type-system.md	4	accept	typing/valid/newtypes-and-widening.hd
04-type-system.md	5	accept	typing/valid/newtypes-and-widening.hd
04-type-system.md	6	accept	typing/valid/newtypes-and-widening.hd
04-type-system.md	7	type-relation	-
04-type-system.md	8	accept	typing/valid/newtypes-and-widening.hd
04-type-system.md	9	accept	typing/valid/bindings.hd
04-type-system.md	10	accept	typing/valid/bindings.hd
04-type-system.md	11	accept	typing/valid/bindings.hd
04-type-system.md	12	accept	typing/valid/mutable-paths.hd
04-type-system.md	13	accept	typing/valid/functions.hd
04-type-system.md	14	accept	typing/valid/trait-features.hd
04-type-system.md	15	accept	parse/valid/declarations.hd
05-expressions.md	1	accept	parse/valid/expressions.hd
05-expressions.md	2	accept	typing/valid/collections.hd
05-expressions.md	3	accept	typing/valid/collections.hd
05-expressions.md	4	accept	typing/valid/collections.hd
05-expressions.md	5	accept	typing/valid/structs.hd
05-expressions.md	6	accept	typing/valid/structs.hd
05-expressions.md	7	accept	typing/valid/functions.hd
05-expressions.md	8	accept	typing/valid/functions.hd
05-expressions.md	9	accept	typing/valid/names-and-scopes.hd
05-expressions.md	10	accept	typing/valid/collections.hd
05-expressions.md	11	accept	typing/valid/collections.hd
05-expressions.md	12	accept	typing/valid/collections.hd
06-control-flow.md	1	accept	typing/valid/control-flow.hd
06-control-flow.md	2	accept	typing/valid/control-flow.hd
06-control-flow.md	3	accept	typing/valid/control-flow.hd
06-control-flow.md	4	accept	typing/valid/control-flow.hd
06-control-flow.md	5	accept	typing/valid/enums.hd
06-control-flow.md	6	accept	typing/valid/enums.hd
06-control-flow.md	7	accept	typing/valid/enums.hd
06-control-flow.md	8	accept	typing/valid/enums.hd
07-functions.md	1	accept	typing/valid/functions.hd
07-functions.md	2	accept	parse/valid/layout.hd
07-functions.md	3	mixed	typing/valid/functions.hd|typing/invalid/const-mutation.hd
07-functions.md	4	accept	typing/valid/functions.hd
07-functions.md	5	accept	typing/valid/functions.hd
07-functions.md	6	accept	typing/valid/functions.hd
07-functions.md	7	accept	typing/valid/functions.hd
07-functions.md	8	type-fragment	-
07-functions.md	9	accept	parse/valid/functions-and-closures.hd
07-functions.md	10	accept	parse/valid/functions-and-closures.hd
07-functions.md	11	accept	parse/valid/functions-and-closures.hd
07-functions.md	12	accept	typing/valid/functions.hd
07-functions.md	13	accept	parse/valid/functions-and-closures.hd
07-functions.md	14	accept	typing/valid/functions.hd
07-functions.md	15	accept	typing/valid/functions.hd
07-functions.md	16	accept	typing/valid/trait-features.hd
07-functions.md	17	accept	typing/valid/functions.hd
07-functions.md	18	accept	typing/valid/functions.hd
08-structs-and-enums.md	1	accept	typing/valid/structs.hd
08-structs-and-enums.md	2	accept	typing/valid/structs.hd
08-structs-and-enums.md	3	accept	typing/valid/structs.hd
08-structs-and-enums.md	4	accept	parse/valid/struct-embedding.hd
08-structs-and-enums.md	5	accept	parse/valid/struct-embedding.hd
08-structs-and-enums.md	6	accept	typing/valid/enums.hd
08-structs-and-enums.md	7	accept	typing/valid/enums.hd
08-structs-and-enums.md	8	accept	typing/valid/enums.hd
08-structs-and-enums.md	9	accept	typing/valid/enums.hd
08-structs-and-enums.md	10	accept	typing/valid/enums.hd
08-structs-and-enums.md	11	accept	typing/valid/enums.hd
08-structs-and-enums.md	12	accept	typing/valid/enums.hd
08-structs-and-enums.md	13	pattern-fragment	-
09-traits.md	1	accept	typing/valid/traits.hd
09-traits.md	2	accept	typing/valid/trait-features.hd
09-traits.md	3	accept	typing/valid/trait-features.hd
09-traits.md	4	accept	typing/valid/trait-features.hd
09-traits.md	5	accept	typing/valid/trait-features.hd
09-traits.md	6	accept	typing/valid/traits.hd
09-traits.md	7	accept	typing/valid/functions.hd
09-traits.md	8	expression-fragment	-
09-traits.md	9	accept	typing/valid/trait-features.hd
09-traits.md	10	accept	typing/valid/traits.hd
09-traits.md	11	accept	typing/valid/trait-features.hd
09-traits.md	12	accept	typing/valid/traits.hd
10-modules.md	1	filesystem-layout	-
10-modules.md	2	filesystem-layout	-
10-modules.md	3	accept	parse/valid/imports.hd
10-modules.md	4	accept	parse/valid/imports.hd
10-modules.md	5	accept	parse/valid/imports.hd
10-modules.md	6	accept	parse/valid/declarations.hd
10-modules.md	7	accept	parse/valid/imports.hd
10-modules.md	8	accept	typing/valid/functions.hd
